Date,CountryName,RegionName,PrescriptionIndex,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings
2021-06-01,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
