Date,CountryName,RegionName,PrescriptionIndex,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings
2021-01-01,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
