PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Afghanistan,,2020-08-01,0,0,0,4,0,0,0,0,0,0,0,0
0,Afghanistan,,2020-08-02,0,0,0,4,0,0,0,0,0,0,0,0
0,Afghanistan,,2020-08-03,0,0,0,4,0,0,0,0,0,0,0,0
0,Afghanistan,,2020-08-04,0,0,0,4,0,0,0,0,0,0,0,0
0,Afghanistan,,2020-08-05,0,0,0,4,0,0,0,0,0,0,0,0
1,Afghanistan,,2020-08-01,3,0,0,4,0,0,0,0,0,0,0,0
1,Afghanistan,,2020-08-02,3,0,0,4,0,0,0,0,0,0,0,0
1,Afghanistan,,2020-08-03,3,0,0,4,0,0,0,0,0,0,0,0
1,Afghanistan,,2020-08-04,3,0,0,4,0,0,0,0,0,0,0,0
1,Afghanistan,,2020-08-05,3,0,0,4,0,0,0,0,0,0,0,0
2,Afghanistan,,2020-08-01,3,3,0,4,0,0,0,0,0,0,0,0
2,Afghanistan,,2020-08-02,3,3,0,4,0,0,0,0,0,0,0,0
2,Afghanistan,,2020-08-03,3,3,0,4,0,0,0,0,0,0,0,0
2,Afghanistan,,2020-08-04,3,3,0,4,0,0,0,0,0,0,0,0
2,Afghanistan,,2020-08-05,3,3,0,4,0,0,0,0,0,0,0,0
3,Afghanistan,,2020-08-01,3,3,0,4,0,0,0,0,0,3,0,0
3,Afghanistan,,2020-08-02,3,3,0,4,0,0,0,0,0,3,0,0
3,Afghanistan,,2020-08-03,3,3,0,4,0,0,0,0,0,3,0,0
3,Afghanistan,,2020-08-04,3,3,0,4,0,0,0,0,0,3,0,0
3,Afghanistan,,2020-08-05,3,3,0,4,0,0,0,0,0,3,0,0
4,Afghanistan,,2020-08-01,3,3,0,4,0,0,0,0,0,3,0,4
4,Afghanistan,,2020-08-02,3,3,0,4,0,0,0,0,0,3,0,4
4,Afghanistan,,2020-08-03,3,3,0,4,0,0,0,0,0,3,0,4
4,Afghanistan,,2020-08-04,3,3,0,4,0,0,0,0,0,3,0,4
4,Afghanistan,,2020-08-05,3,3,0,4,0,0,0,0,0,3,0,4
5,Afghanistan,,2020-08-01,3,3,0,4,0,0,2,0,0,3,0,4
5,Afghanistan,,2020-08-02,3,3,0,4,0,0,2,0,0,3,0,4
5,Afghanistan,,2020-08-03,3,3,0,4,0,0,2,0,0,3,0,4
5,Afghanistan,,2020-08-04,3,3,0,4,0,0,2,0,0,3,0,4
5,Afghanistan,,2020-08-05,3,3,0,4,0,0,2,0,0,3,0,4
6,Afghanistan,,2020-08-01,3,3,0,4,0,0,2,0,2,3,0,4
6,Afghanistan,,2020-08-02,3,3,0,4,0,0,2,0,2,3,0,4
6,Afghanistan,,2020-08-03,3,3,0,4,0,0,2,0,2,3,0,4
6,Afghanistan,,2020-08-04,3,3,0,4,0,0,2,0,2,3,0,4
6,Afghanistan,,2020-08-05,3,3,0,4,0,0,2,0,2,3,0,4
7,Afghanistan,,2020-08-01,3,3,0,4,0,0,2,4,2,3,0,4
7,Afghanistan,,2020-08-02,3,3,0,4,0,0,2,4,2,3,0,4
7,Afghanistan,,2020-08-03,3,3,0,4,0,0,2,4,2,3,0,4
7,Afghanistan,,2020-08-04,3,3,0,4,0,0,2,4,2,3,0,4
7,Afghanistan,,2020-08-05,3,3,0,4,0,0,2,4,2,3,0,4
8,Afghanistan,,2020-08-01,3,3,0,4,2,0,2,4,2,3,0,4
8,Afghanistan,,2020-08-02,3,3,0,4,2,0,2,4,2,3,0,4
8,Afghanistan,,2020-08-03,3,3,0,4,2,0,2,4,2,3,0,4
8,Afghanistan,,2020-08-04,3,3,0,4,2,0,2,4,2,3,0,4
8,Afghanistan,,2020-08-05,3,3,0,4,2,0,2,4,2,3,0,4
9,Afghanistan,,2020-08-01,3,3,0,4,2,0,2,4,2,3,2,4
9,Afghanistan,,2020-08-02,3,3,0,4,2,0,2,4,2,3,2,4
9,Afghanistan,,2020-08-03,3,3,0,4,2,0,2,4,2,3,2,4
9,Afghanistan,,2020-08-04,3,3,0,4,2,0,2,4,2,3,2,4
9,Afghanistan,,2020-08-05,3,3,0,4,2,0,2,4,2,3,2,4
0,Albania,,2020-08-01,3,0,0,0,0,0,0,0,0,0,0,0
0,Albania,,2020-08-02,3,0,0,0,0,0,0,0,0,0,0,0
0,Albania,,2020-08-03,3,0,0,0,0,0,0,0,0,0,0,0
0,Albania,,2020-08-04,3,0,0,0,0,0,0,0,0,0,0,0
0,Albania,,2020-08-05,3,0,0,0,0,0,0,0,0,0,0,0
1,Albania,,2020-08-01,3,0,0,0,0,0,0,4,0,0,0,0
1,Albania,,2020-08-02,3,0,0,0,0,0,0,4,0,0,0,0
1,Albania,,2020-08-03,3,0,0,0,0,0,0,4,0,0,0,0
1,Albania,,2020-08-04,3,0,0,0,0,0,0,4,0,0,0,0
1,Albania,,2020-08-05,3,0,0,0,0,0,0,4,0,0,0,0
2,Albania,,2020-08-01,3,0,0,0,2,0,0,4,0,0,0,0
2,Albania,,2020-08-02,3,0,0,0,2,0,0,4,0,0,0,0
2,Albania,,2020-08-03,3,0,0,0,2,0,0,4,0,0,0,0
2,Albania,,2020-08-04,3,0,0,0,2,0,0,4,0,0,0,0
2,Albania,,2020-08-05,3,0,0,0,2,0,0,4,0,0,0,0
3,Albania,,2020-08-01,3,3,0,0,2,0,0,4,0,0,0,0
3,Albania,,2020-08-02,3,3,0,0,2,0,0,4,0,0,0,0
3,Albania,,2020-08-03,3,3,0,0,2,0,0,4,0,0,0,0
3,Albania,,2020-08-04,3,3,0,0,2,0,0,4,0,0,0,0
3,Albania,,2020-08-05,3,3,0,0,2,0,0,4,0,0,0,0
4,Albania,,2020-08-01,3,3,2,0,2,0,0,4,0,0,0,0
4,Albania,,2020-08-02,3,3,2,0,2,0,0,4,0,0,0,0
4,Albania,,2020-08-03,3,3,2,0,2,0,0,4,0,0,0,0
4,Albania,,2020-08-04,3,3,2,0,2,0,0,4,0,0,0,0
4,Albania,,2020-08-05,3,3,2,0,2,0,0,4,0,0,0,0
5,Albania,,2020-08-01,3,3,2,0,2,0,0,4,0,3,0,0
5,Albania,,2020-08-02,3,3,2,0,2,0,0,4,0,3,0,0
5,Albania,,2020-08-03,3,3,2,0,2,0,0,4,0,3,0,0
5,Albania,,2020-08-04,3,3,2,0,2,0,0,4,0,3,0,0
5,Albania,,2020-08-05,3,3,2,0,2,0,0,4,0,3,0,0
6,Albania,,2020-08-01,3,3,2,0,2,0,0,4,0,3,2,0
6,Albania,,2020-08-02,3,3,2,0,2,0,0,4,0,3,2,0
6,Albania,,2020-08-03,3,3,2,0,2,0,0,4,0,3,2,0
6,Albania,,2020-08-04,3,3,2,0,2,0,0,4,0,3,2,0
6,Albania,,2020-08-05,3,3,2,0,2,0,0,4,0,3,2,0
7,Albania,,2020-08-01,3,3,2,4,2,0,0,4,0,3,2,0
7,Albania,,2020-08-02,3,3,2,4,2,0,0,4,0,3,2,0
7,Albania,,2020-08-03,3,3,2,4,2,0,0,4,0,3,2,0
7,Albania,,2020-08-04,3,3,2,4,2,0,0,4,0,3,2,0
7,Albania,,2020-08-05,3,3,2,4,2,0,0,4,0,3,2,0
8,Albania,,2020-08-01,3,3,2,4,2,0,0,4,2,3,2,0
8,Albania,,2020-08-02,3,3,2,4,2,0,0,4,2,3,2,0
8,Albania,,2020-08-03,3,3,2,4,2,0,0,4,2,3,2,0
8,Albania,,2020-08-04,3,3,2,4,2,0,0,4,2,3,2,0
8,Albania,,2020-08-05,3,3,2,4,2,0,0,4,2,3,2,0
9,Albania,,2020-08-01,3,3,2,4,2,3,0,4,2,3,2,0
9,Albania,,2020-08-02,3,3,2,4,2,3,0,4,2,3,2,0
9,Albania,,2020-08-03,3,3,2,4,2,3,0,4,2,3,2,0
9,Albania,,2020-08-04,3,3,2,4,2,3,0,4,2,3,2,0
9,Albania,,2020-08-05,3,3,2,4,2,3,0,4,2,3,2,0
0,Algeria,,2020-08-01,3,0,0,0,0,0,0,0,0,0,0,0
0,Algeria,,2020-08-02,3,0,0,0,0,0,0,0,0,0,0,0
0,Algeria,,2020-08-03,3,0,0,0,0,0,0,0,0,0,0,0
0,Algeria,,2020-08-04,3,0,0,0,0,0,0,0,0,0,0,0
0,Algeria,,2020-08-05,3,0,0,0,0,0,0,0,0,0,0,0
1,Algeria,,2020-08-01,3,3,0,0,0,0,0,0,0,0,0,0
1,Algeria,,2020-08-02,3,3,0,0,0,0,0,0,0,0,0,0
1,Algeria,,2020-08-03,3,3,0,0,0,0,0,0,0,0,0,0
1,Algeria,,2020-08-04,3,3,0,0,0,0,0,0,0,0,0,0
1,Algeria,,2020-08-05,3,3,0,0,0,0,0,0,0,0,0,0
2,Algeria,,2020-08-01,3,3,0,0,0,0,0,0,0,3,0,0
2,Algeria,,2020-08-02,3,3,0,0,0,0,0,0,0,3,0,0
2,Algeria,,2020-08-03,3,3,0,0,0,0,0,0,0,3,0,0
2,Algeria,,2020-08-04,3,3,0,0,0,0,0,0,0,3,0,0
2,Algeria,,2020-08-05,3,3,0,0,0,0,0,0,0,3,0,0
3,Algeria,,2020-08-01,3,3,0,4,0,0,0,0,0,3,0,0
3,Algeria,,2020-08-02,3,3,0,4,0,0,0,0,0,3,0,0
3,Algeria,,2020-08-03,3,3,0,4,0,0,0,0,0,3,0,0
3,Algeria,,2020-08-04,3,3,0,4,0,0,0,0,0,3,0,0
3,Algeria,,2020-08-05,3,3,0,4,0,0,0,0,0,3,0,0
4,Algeria,,2020-08-01,3,3,0,4,0,0,0,4,0,3,0,0
4,Algeria,,2020-08-02,3,3,0,4,0,0,0,4,0,3,0,0
4,Algeria,,2020-08-03,3,3,0,4,0,0,0,4,0,3,0,0
4,Algeria,,2020-08-04,3,3,0,4,0,0,0,4,0,3,0,0
4,Algeria,,2020-08-05,3,3,0,4,0,0,0,4,0,3,0,0
5,Algeria,,2020-08-01,3,3,0,4,0,0,0,4,0,3,2,0
5,Algeria,,2020-08-02,3,3,0,4,0,0,0,4,0,3,2,0
5,Algeria,,2020-08-03,3,3,0,4,0,0,0,4,0,3,2,0
5,Algeria,,2020-08-04,3,3,0,4,0,0,0,4,0,3,2,0
5,Algeria,,2020-08-05,3,3,0,4,0,0,0,4,0,3,2,0
6,Algeria,,2020-08-01,3,3,2,4,0,0,0,4,0,3,2,0
6,Algeria,,2020-08-02,3,3,2,4,0,0,0,4,0,3,2,0
6,Algeria,,2020-08-03,3,3,2,4,0,0,0,4,0,3,2,0
6,Algeria,,2020-08-04,3,3,2,4,0,0,0,4,0,3,2,0
6,Algeria,,2020-08-05,3,3,2,4,0,0,0,4,0,3,2,0
7,Algeria,,2020-08-01,3,3,2,4,0,0,0,4,2,3,2,0
7,Algeria,,2020-08-02,3,3,2,4,0,0,0,4,2,3,2,0
7,Algeria,,2020-08-03,3,3,2,4,0,0,0,4,2,3,2,0
7,Algeria,,2020-08-04,3,3,2,4,0,0,0,4,2,3,2,0
7,Algeria,,2020-08-05,3,3,2,4,0,0,0,4,2,3,2,0
8,Algeria,,2020-08-01,3,3,2,4,2,0,0,4,2,3,2,0
8,Algeria,,2020-08-02,3,3,2,4,2,0,0,4,2,3,2,0
8,Algeria,,2020-08-03,3,3,2,4,2,0,0,4,2,3,2,0
8,Algeria,,2020-08-04,3,3,2,4,2,0,0,4,2,3,2,0
8,Algeria,,2020-08-05,3,3,2,4,2,0,0,4,2,3,2,0
9,Algeria,,2020-08-01,3,3,2,4,2,3,0,4,2,3,2,0
9,Algeria,,2020-08-02,3,3,2,4,2,3,0,4,2,3,2,0
9,Algeria,,2020-08-03,3,3,2,4,2,3,0,4,2,3,2,0
9,Algeria,,2020-08-04,3,3,2,4,2,3,0,4,2,3,2,0
9,Algeria,,2020-08-05,3,3,2,4,2,3,0,4,2,3,2,0
0,Andorra,,2020-08-01,3,0,0,0,0,0,0,0,0,0,0,0
0,Andorra,,2020-08-02,3,0,0,0,0,0,0,0,0,0,0,0
0,Andorra,,2020-08-03,3,0,0,0,0,0,0,0,0,0,0,0
0,Andorra,,2020-08-04,3,0,0,0,0,0,0,0,0,0,0,0
0,Andorra,,2020-08-05,3,0,0,0,0,0,0,0,0,0,0,0
1,Andorra,,2020-08-01,3,0,0,4,0,0,0,0,0,0,0,0
1,Andorra,,2020-08-02,3,0,0,4,0,0,0,0,0,0,0,0
1,Andorra,,2020-08-03,3,0,0,4,0,0,0,0,0,0,0,0
1,Andorra,,2020-08-04,3,0,0,4,0,0,0,0,0,0,0,0
1,Andorra,,2020-08-05,3,0,0,4,0,0,0,0,0,0,0,0
2,Andorra,,2020-08-01,3,0,0,4,2,0,0,0,0,0,0,0
2,Andorra,,2020-08-02,3,0,0,4,2,0,0,0,0,0,0,0
2,Andorra,,2020-08-03,3,0,0,4,2,0,0,0,0,0,0,0
2,Andorra,,2020-08-04,3,0,0,4,2,0,0,0,0,0,0,0
2,Andorra,,2020-08-05,3,0,0,4,2,0,0,0,0,0,0,0
3,Andorra,,2020-08-01,3,3,0,4,2,0,0,0,0,0,0,0
3,Andorra,,2020-08-02,3,3,0,4,2,0,0,0,0,0,0,0
3,Andorra,,2020-08-03,3,3,0,4,2,0,0,0,0,0,0,0
3,Andorra,,2020-08-04,3,3,0,4,2,0,0,0,0,0,0,0
3,Andorra,,2020-08-05,3,3,0,4,2,0,0,0,0,0,0,0
4,Andorra,,2020-08-01,3,3,0,4,2,0,0,0,2,0,0,0
4,Andorra,,2020-08-02,3,3,0,4,2,0,0,0,2,0,0,0
4,Andorra,,2020-08-03,3,3,0,4,2,0,0,0,2,0,0,0
4,Andorra,,2020-08-04,3,3,0,4,2,0,0,0,2,0,0,0
4,Andorra,,2020-08-05,3,3,0,4,2,0,0,0,2,0,0,0
5,Andorra,,2020-08-01,3,3,0,4,2,0,0,0,2,3,0,0
5,Andorra,,2020-08-02,3,3,0,4,2,0,0,0,2,3,0,0
5,Andorra,,2020-08-03,3,3,0,4,2,0,0,0,2,3,0,0
5,Andorra,,2020-08-04,3,3,0,4,2,0,0,0,2,3,0,0
5,Andorra,,2020-08-05,3,3,0,4,2,0,0,0,2,3,0,0
6,Andorra,,2020-08-01,3,3,0,4,2,0,0,4,2,3,0,0
6,Andorra,,2020-08-02,3,3,0,4,2,0,0,4,2,3,0,0
6,Andorra,,2020-08-03,3,3,0,4,2,0,0,4,2,3,0,0
6,Andorra,,2020-08-04,3,3,0,4,2,0,0,4,2,3,0,0
6,Andorra,,2020-08-05,3,3,0,4,2,0,0,4,2,3,0,0
7,Andorra,,2020-08-01,3,3,0,4,2,3,0,4,2,3,0,0
7,Andorra,,2020-08-02,3,3,0,4,2,3,0,4,2,3,0,0
7,Andorra,,2020-08-03,3,3,0,4,2,3,0,4,2,3,0,0
7,Andorra,,2020-08-04,3,3,0,4,2,3,0,4,2,3,0,0
7,Andorra,,2020-08-05,3,3,0,4,2,3,0,4,2,3,0,0
8,Andorra,,2020-08-01,3,3,0,4,2,3,2,4,2,3,0,0
8,Andorra,,2020-08-02,3,3,0,4,2,3,2,4,2,3,0,0
8,Andorra,,2020-08-03,3,3,0,4,2,3,2,4,2,3,0,0
8,Andorra,,2020-08-04,3,3,0,4,2,3,2,4,2,3,0,0
8,Andorra,,2020-08-05,3,3,0,4,2,3,2,4,2,3,0,0
9,Andorra,,2020-08-01,3,3,0,4,2,3,2,4,2,3,0,4
9,Andorra,,2020-08-02,3,3,0,4,2,3,2,4,2,3,0,4
9,Andorra,,2020-08-03,3,3,0,4,2,3,2,4,2,3,0,4
9,Andorra,,2020-08-04,3,3,0,4,2,3,2,4,2,3,0,4
9,Andorra,,2020-08-05,3,3,0,4,2,3,2,4,2,3,0,4
