truth,pred,pred_sir,fecha,xprice
453.0,441.59980021828085,449.6999334474519,2021-03-08,0
453.0,432.8531607903027,460.86266178911006,2021-03-08,0
2897.0,0.0,698.0,2021-03-09,0
2897.0,2391.0,698.0,2021-03-09,0
3406.0,0.0,134.0,2021-03-10,0
3406.0,1146.0,134.0,2021-03-10,0
2629.0,1063.0,57.0,2021-03-11,0
2629.0,334.0,57.0,2021-03-11,0
2960.0,2400.0,1897.0,2021-03-12,0
2960.0,655.0,1897.0,2021-03-12,0
2984.0,681.0,0.0,2021-03-13,0
2984.0,137.0,0.0,2021-03-13,0
1887.0,320.0,0.0,2021-03-14,0
1887.0,0.0,0.0,2021-03-14,0
629.0,2897.0,0.0,2021-03-15,0
629.0,65.0,0.0,2021-03-15,0
4602.0,3292.0,0.0,2021-03-16,0
4293.0,0.0,0.0,2021-03-17,0
4029.0,2960.0,234.0,2021-03-18,0
3952.0,0.0,1353.0,2021-03-19,0
4012.0,1887.0,28.0,2021-03-20,0
2414.0,0.0,0.0,2021-03-21,0
919.0,985.8766603686898,848.7023551258217,2021-03-22,0
919.0,922.1942798949261,851.3741179462393,2021-03-22,0
4436.0,4293.0,0.0,2021-03-23,0
4436.0,776.0,0.0,2021-03-23,0
4777.0,2617.0,0.0,2021-03-24,0
4777.0,1864.0,0.0,2021-03-24,0
4294.0,549.0,0.0,2021-03-25,0
4294.0,3495.0,0.0,2021-03-25,0
3926.0,0.0,1010.0,2021-03-26,0
3926.0,4012.0,1010.0,2021-03-26,0
3976.0,0.0,0.0,2021-03-27,0
3976.0,2414.0,0.0,2021-03-27,0
2447.0,0.0,0.0,2021-03-28,0
2447.0,919.0,0.0,2021-03-28,0
941.0,2716.0,0.0,2021-03-29,0
941.0,2000.0,0.0,2021-03-29,0
