truth,pred,pred_sir,fecha,xprice
7640.0,7092.221910030264,8199.164675969578,2021-02-22,0
7640.0,7550.339206435668,7619.235165901881,2021-02-22,0
4331.0,594.0,0.0,2021-02-23,0
4331.0,3115.0,0.0,2021-02-23,0
3845.0,4778.0,0.0,2021-02-24,0
3845.0,1612.0,0.0,2021-02-24,0
7972.0,8198.0,5709.0,2021-02-25,0
7972.0,2862.0,5709.0,2021-02-25,0
11834.0,6534.0,4270.0,2021-02-26,0
11834.0,923.0,4270.0,2021-02-26,0
9957.0,8326.0,2498.0,2021-02-27,0
9957.0,0.0,2498.0,2021-02-27,0
9729.0,7640.0,1280.0,2021-02-28,0
9729.0,0.0,1280.0,2021-02-28,0
7798.0,4331.0,0.0,2021-03-01,0
7798.0,332.0,0.0,2021-03-01,0
4640.0,3421.0,0.0,2021-03-02,0
3857.0,3596.0,0.0,2021-03-03,0
8934.0,7226.0,2911.0,2021-03-04,0
11829.0,678.0,2489.0,2021-03-05,0
10483.0,8856.0,3191.0,2021-03-06,0
9465.0,0.0,2383.0,2021-03-07,0
7980.0,7897.597209521205,8088.282218358102,2021-03-08,0
7980.0,8173.386118797819,7977.094586957658,2021-03-08,0
4883.0,3857.0,0.0,2021-03-09,0
4883.0,0.0,0.0,2021-03-09,0
4124.0,8934.0,0.0,2021-03-10,0
4124.0,0.0,0.0,2021-03-10,0
9017.0,11829.0,1266.0,2021-03-11,0
9017.0,0.0,1266.0,2021-03-11,0
14235.0,10483.0,4708.0,2021-03-12,0
14235.0,0.0,4708.0,2021-03-12,0
12710.0,9465.0,1983.0,2021-03-13,0
12710.0,0.0,1983.0,2021-03-13,0
12541.0,7980.0,1354.0,2021-03-14,0
12541.0,0.0,1354.0,2021-03-14,0
10651.0,4883.0,0.0,2021-03-15,0
10651.0,0.0,0.0,2021-03-15,0
