CountryName,RegionName,Date,RN,PredictedDailyNewCases,PredictedDailyNewRatios
Argentina,,2020-12-28,0.99037904,0,1.0059289
Argentina,,2020-12-29,0.99037904,7522,1.0059512
Argentina,,2020-12-30,0.99037904,7989,1.0063974
Argentina,,2020-12-31,0.99037904,0,1.004426
Argentina,,2021-01-01,0.99037904,9966,1.0026144
Argentina,,2021-01-02,0.99037904,2927,1.000361
Argentina,,2021-01-03,0.99037904,4220,0.9995093
Argentina,,2021-01-04,0.99037904,0,0.99800944
Argentina,,2021-01-05,0.99037904,6668,0.99768525
Argentina,,2021-01-06,0.99037904,7134,0.9969304
Argentina,,2021-01-07,0.99037904,0,0.9965342
Argentina,,2021-01-08,0.99037904,9099,0.99577737
Argentina,,2021-01-09,0.99037904,2072,0.9953486
Argentina,,2021-01-10,0.99037904,3368,0.99460644
Argentina,,2021-01-11,0.99037904,0,0.994255
Argentina,,2021-01-12,0.99037904,5809,0.99342203
Argentina,,2021-01-13,0.99037904,6284,0.9927808
Argentina,,2021-01-14,0.99037904,0,0.9918562
Argentina,,2021-01-15,0.99037904,8241,0.9914851
Argentina,,2021-01-16,0.99037904,1228,0.9909279
Argentina,,2021-01-17,0.99037904,2543,0.99059045
Argentina,,2021-01-18,0.99037904,0,0.99037904
Austria,,2020-12-28,0.98988986,0,0.99951094
Austria,,2020-12-29,0.98988986,1032,1.0000429
Austria,,2020-12-30,0.98988986,1803,1.0005604
Austria,,2020-12-31,0.98988986,2252,0.99931204
Austria,,2021-01-01,0.98988986,2537,0.9981836
Austria,,2021-01-02,0.98988986,1483,0.9966917
Austria,,2021-01-03,0.98988986,965,0.9961119
Austria,,2021-01-04,0.98988986,0,0.9950082
Austria,,2021-01-05,0.98988986,718,0.99472505
Austria,,2021-01-06,0.98988986,1493,0.99416995
Austria,,2021-01-07,0.98988986,1949,0.9938753
Austria,,2021-01-08,0.98988986,2240,0.9933817
Austria,,2021-01-09,0.98988986,1193,0.9931514
Austria,,2021-01-10,0.98988986,681,0.99267286
Austria,,2021-01-11,0.98988986,0,0.9924096
Austria,,2021-01-12,0.98988986,437,0.99184954
Austria,,2021-01-13,0.98988986,1218,0.99145883
Austria,,2021-01-14,0.98988986,1679,0.99084747
Austria,,2021-01-15,0.98988986,1978,0.9906191
Austria,,2021-01-16,0.98988986,938,0.99026525
Austria,,2021-01-17,0.98988986,433,0.99002683
Austria,,2021-01-18,0.98988986,0,0.98988986
Belgium,,2020-12-28,0.99089706,0,1.0135548
Belgium,,2020-12-29,0.99089706,1899,1.0136017
Belgium,,2020-12-30,0.99089706,2930,1.013349
Belgium,,2020-12-31,0.99089706,2294,1.0103028
Belgium,,2021-01-01,0.99089706,2022,1.0076736
Belgium,,2021-01-02,0.99089706,405,1.0049531
Belgium,,2021-01-03,0.99089706,486,1.0037053
