CountryName,RegionName,Date,RN,PredictedDailyNewCases,PredictedDailyNewRatios
Argentina,,2020-12-28,0.9876396,0,0.9963898
Argentina,,2020-12-29,0.9876396,7192,0.9966269
Argentina,,2020-12-30,0.9876396,7648,0.9963378
Argentina,,2020-12-31,0.9876396,0,0.99582356
Argentina,,2021-01-01,0.9876396,9709,0.99450326
Argentina,,2021-01-02,0.9876396,2734,0.99374557
Argentina,,2021-01-03,0.9876396,4043,0.9930068
Argentina,,2021-01-04,0.9876396,0,0.9923372
Argentina,,2021-01-05,0.9876396,6182,0.99147254
Argentina,,2021-01-06,0.9876396,6645,0.9905958
Argentina,,2021-01-07,0.9876396,0,0.9896548
Argentina,,2021-01-08,0.9876396,8688,0.98879033
Argentina,,2021-01-09,0.9876396,1734,0.9882869
Argentina,,2021-01-10,0.9876396,3067,0.98786414
Argentina,,2021-01-11,0.9876396,0,0.9876396
Austria,,2020-12-28,0.98494637,0,0.9806193
Austria,,2020-12-29,0.98494637,816,0.98140746
Austria,,2020-12-30,0.98494637,1602,0.9819584
Austria,,2020-12-31,0.98494637,2083,0.9823732
Austria,,2021-01-01,0.98494637,2396,0.9826964
Austria,,2021-01-02,0.98494637,1372,0.9831382
Austria,,2021-01-03,0.98494637,871,0.98328036
Austria,,2021-01-04,0.98494637,0,0.9834973
Austria,,2021-01-05,0.98494637,434,0.9838108
Austria,,2021-01-06,0.98494637,1239,0.9841924
Austria,,2021-01-07,0.98494637,1737,0.9844842
Austria,,2021-01-08,0.98494637,2067,0.9848019
Austria,,2021-01-09,0.98494637,1058,0.98496926
Austria,,2021-01-10,0.98494637,570,0.9850105
Austria,,2021-01-11,0.98494637,0,0.98494637
Belgium,,2020-12-28,0.9869366,0,0.99699354
Belgium,,2020-12-29,0.9869366,1699,0.9962464
Belgium,,2020-12-30,0.9869366,2726,0.9944335
Belgium,,2020-12-31,0.9869366,2129,0.99368834
Belgium,,2021-01-01,0.9869366,1882,0.99212223
Belgium,,2021-01-02,0.9869366,310,0.9927442
Belgium,,2021-01-03,0.9869366,399,0.9913091
Belgium,,2021-01-04,0.9869366,0,0.99004483
Belgium,,2021-01-05,0.9869366,1259,0.9891918
Belgium,,2021-01-06,0.9869366,2307,0.98914146
Belgium,,2021-01-07,0.9869366,1725,0.98859125
Belgium,,2021-01-08,0.9869366,1496,0.9883088
Belgium,,2021-01-09,0.9869366,0,0.98768467
Belgium,,2021-01-10,0.9869366,41,0.98745286
Belgium,,2021-01-11,0.9869366,0,0.9869366
Bulgaria,,2020-12-28,0.9838897,0,0.9709215
Bulgaria,,2020-12-29,0.9838897,1518,0.96836954
Bulgaria,,2020-12-30,0.9838897,1354,0.96928567
Bulgaria,,2020-12-31,0.9838897,540,0.97186935
Bulgaria,,2021-01-01,0.9838897,44,0.9738089
Bulgaria,,2021-01-02,0.9838897,271,0.9759559
Bulgaria,,2021-01-03,0.9838897,149,0.9770815
Bulgaria,,2021-01-04,0.9838897,0,0.97682667
Bulgaria,,2021-01-05,0.9838897,1361,0.97834444
Bulgaria,,2021-01-06,0.9838897,1205,0.97899383
Bulgaria,,2021-01-07,0.9838897,402,0.9803089
Bulgaria,,2021-01-08,0.9838897,0,0.98103136
Bulgaria,,2021-01-09,0.9838897,146,0.98220897
Bulgaria,,2021-01-10,0.9838897,31,0.9829516
Bulgaria,,2021-01-11,0.9838897,0,0.9838897
Canada,,2020-12-28,0.98634344,0,0.99160403
Canada,,2020-12-29,0.98634344,5808,0.9910764
Canada,,2020-12-30,0.98634344,5963,0.99052864
Canada,,2020-12-31,0.98634344,5622,0.98989487
Canada,,2021-01-01,0.98634344,5188,0.9893616
Canada,,2021-01-02,0.98634344,4642,0.98883486
Canada,,2021-01-03,0.98634344,4796,0.98840797
Canada,,2021-01-04,0.98634344,0,0.9880505
Canada,,2021-01-05,0.98634344,5107,0.987699
Canada,,2021-01-06,0.98634344,5267,0.9873777
Canada,,2021-01-07,0.98634344,4934,0.9871093
Canada,,2021-01-08,0.98634344,4508,0.9868608
Canada,,2021-01-09,0.98634344,3971,0.9866347
Canada,,2021-01-10,0.98634344,4136,0.98648024
Canada,,2021-01-11,0.98634344,0,0.98634344
Switzerland,,2020-12-28,0.9864362,0,0.9932426
Switzerland,,2020-12-29,0.9864362,3652,0.9917394
Switzerland,,2020-12-30,0.9864362,4433,0.99049443
Switzerland,,2020-12-31,0.9864362,4312,0.9902517
Switzerland,,2021-01-01,0.9864362,0,0.98953533
Switzerland,,2021-01-02,0.9864362,0,0.98908335
Switzerland,,2021-01-03,0.9864362,0,0.988473
Switzerland,,2021-01-04,0.9864362,0,0.98790663
Switzerland,,2021-01-05,0.9864362,3088,0.9874747
Switzerland,,2021-01-06,0.9864362,3892,0.98719025
Switzerland,,2021-01-07,0.9864362,3792,0.9868631
Switzerland,,2021-01-08,0.9864362,0,0.98670155
Switzerland,,2021-01-09,0.9864362,0,0.98648363
Switzerland,,2021-01-10,0.9864362,0,0.98647344
Switzerland,,2021-01-11,0.9864362,0,0.9864362
Cyprus,,2020-12-28,0.9866602,0,0.99537694
Cyprus,,2020-12-29,0.9866602,254,0.99319243
Cyprus,,2020-12-30,0.9866602,366,0.9913576
Cyprus,,2020-12-31,0.9866602,442,0.99070174
Cyprus,,2021-01-01,0.9866602,397,0.99012476
Cyprus,,2021-01-02,0.9866602,20,0.9903146
Cyprus,,2021-01-03,0.9866602,0,0.9896101
Cyprus,,2021-01-04,0.9866602,0,0.98838156
Cyprus,,2021-01-05,0.9866602,221,0.9879975
Cyprus,,2021-01-06,0.9866602,333,0.9876337
Cyprus,,2021-01-07,0.9866602,409,0.98742205
Cyprus,,2021-01-08,0.9866602,365,0.98718876
Cyprus,,2021-01-09,0.9866602,0,0.98695993
Cyprus,,2021-01-10,0.9866602,0,0.9866914
Cyprus,,2021-01-11,0.9866602,0,0.9866602
Czech Republic,,2020-12-28,0.98879373,0,1.0164467
Czech Republic,,2020-12-29,0.98879373,6648,1.0134969
Czech Republic,,2020-12-30,0.98879373,9575,1.010712
Czech Republic,,2020-12-31,0.98879373,12725,1.0068854
Czech Republic,,2021-01-01,0.98879373,2904,1.0045226
Czech Republic,,2021-01-02,0.98879373,1217,1.0023692
Czech Republic,,2021-01-03,0.98879373,1522,1.0002714
Czech Republic,,2021-01-04,0.98879373,0,0.9983
Czech Republic,,2021-01-05,0.98879373,5100,0.99634606
Czech Republic,,2021-01-06,0.98879373,8040,0.9945495
Czech Republic,,2021-01-07,0.98879373,11213,0.9929352
Czech Republic,,2021-01-08,0.98879373,1423,0.99145776
Czech Republic,,2021-01-09,0.98879373,0,0.99020654
Czech Republic,,2021-01-10,0.98879373,119,0.98929954
Czech Republic,,2021-01-11,0.98879373,0,0.98879373
Germany,,2020-12-28,0.9871446,0,0.9990311
Germany,,2020-12-29,0.9871446,17498,0.99724555
Germany,,2020-12-30,0.9871446,22534,0.99564344
Germany,,2020-12-31,0.9871446,29913,0.99475247
Germany,,2021-01-01,0.9871446,0,0.99365
Germany,,2021-01-02,0.9871446,37483,0.9925637
Germany,,2021-01-03,0.9871446,11182,0.99159294
Germany,,2021-01-04,0.9871446,0,0.99066913
Germany,,2021-01-05,0.9871446,14806,0.9898615
Germany,,2021-01-06,0.9871446,19831,0.9892269
Germany,,2021-01-07,0.9871446,27197,0.98853993
Germany,,2021-01-08,0.9871446,0,0.9880057
Germany,,2021-01-09,0.9871446,34723,0.98753566
Germany,,2021-01-10,0.9871446,8472,0.9873567
Germany,,2021-01-11,0.9871446,0,0.9871446
Denmark,,2020-12-28,0.98740983,0,1.005533
Denmark,,2020-12-29,0.98740983,2318,1.0021081
Denmark,,2020-12-30,0.98740983,3027,0.99912024
Denmark,,2020-12-31,0.98740983,2581,0.9973295
Denmark,,2021-01-01,0.98740983,2688,0.9957454
Denmark,,2021-01-02,0.98740983,1511,0.99432087
Denmark,,2021-01-03,0.98740983,1845,0.992835
Denmark,,2021-01-04,0.98740983,0,0.9913439
Denmark,,2021-01-05,0.98740983,1953,0.99029434
Denmark,,2021-01-06,0.98740983,2661,0.9895194
Denmark,,2021-01-07,0.98740983,2216,0.9888014
Denmark,,2021-01-08,0.98740983,2326,0.9882332
Denmark,,2021-01-09,0.98740983,1154,0.9878086
Denmark,,2021-01-10,0.98740983,1495,0.98753905
Denmark,,2021-01-11,0.98740983,0,0.98740983
Ecuador,,2020-12-28,0.98533934,0,0.9818084
Ecuador,,2020-12-29,0.98533934,0,0.98296624
Ecuador,,2020-12-30,0.98533934,641,0.9830201
Ecuador,,2020-12-31,0.98533934,855,0.98416954
Ecuador,,2021-01-01,0.98533934,745,0.98445386
Ecuador,,2021-01-02,0.98533934,381,0.9856101
Ecuador,,2021-01-03,0.98533934,16,0.9856517
Ecuador,,2021-01-04,0.98533934,0,0.9855837
Ecuador,,2021-01-05,0.98533934,0,0.9853942
Ecuador,,2021-01-06,0.98533934,581,0.985468
Ecuador,,2021-01-07,0.98533934,796,0.98541147
Ecuador,,2021-01-08,0.98533934,687,0.9853923
Ecuador,,2021-01-09,0.98533934,324,0.9852405
Ecuador,,2021-01-10,0.98533934,0,0.98528874
Ecuador,,2021-01-11,0.98533934,0,0.98533934
Spain,,2020-12-28,0.9878777,0,1.0023551
Spain,,2020-12-29,0.9878777,9720,1.0012597
Spain,,2020-12-30,0.9878777,11450,1.0003906
Spain,,2020-12-31,0.9878777,11684,0.99839115
Spain,,2021-01-01,0.9878777,0,0.99698836
Spain,,2021-01-02,0.9878777,0,0.9953945
Spain,,2021-01-03,0.9878777,0,0.9943462
Spain,,2021-01-04,0.9878777,0,0.9931925
Spain,,2021-01-05,0.9878777,8580,0.99235624
Spain,,2021-01-06,0.9878777,10318,0.9913177
Spain,,2021-01-07,0.9878777,10563,0.9903415
Spain,,2021-01-08,0.9878777,0,0.9893445
Spain,,2021-01-09,0.9878777,0,0.988573
Spain,,2021-01-10,0.9878777,0,0.98825216
Spain,,2021-01-11,0.9878777,0,0.9878777
Estonia,,2020-12-28,0.9871117,0,0.99978185
Estonia,,2020-12-29,0.9871117,518,0.9987721
Estonia,,2020-12-30,0.9871117,630,0.9969328
Estonia,,2020-12-31,0.9871117,633,0.9946948
Estonia,,2021-01-01,0.9871117,518,0.993623
Estonia,,2021-01-02,0.9871117,396,0.9929146
Estonia,,2021-01-03,0.9871117,329,0.9915086
Estonia,,2021-01-04,0.9871117,0,0.99025106
Estonia,,2021-01-05,0.9871117,475,0.989383
Estonia,,2021-01-06,0.9871117,587,0.9890592
Estonia,,2021-01-07,0.9871117,589,0.9885587
Estonia,,2021-01-08,0.9871117,474,0.9881865
Estonia,,2021-01-09,0.9871117,351,0.9876315
Estonia,,2021-01-10,0.9871117,284,0.9873421
Estonia,,2021-01-11,0.9871117,0,0.9871117
Finland,,2020-12-28,0.98418325,0,0.97206223
Finland,,2020-12-29,0.98418325,189,0.96833795
