CountryName,RegionName,Date,RN,PredictedDailyNewCases,PredictedDailyNewRatios
Argentina,,2020-12-28,0.99147284,1185,1.0181532
Argentina,,2020-12-29,0.99147284,7964,1.0186125
Argentina,,2020-12-30,0.99147284,8363,1.0174865
Argentina,,2020-12-31,0.99147284,0,1.0149724
Argentina,,2021-01-01,0.99147284,10268,1.0121595
Argentina,,2021-01-02,0.99147284,3145,1.0079896
Argentina,,2021-01-03,0.99147284,4405,1.0065202
Argentina,,2021-01-04,0.99147284,479,1.0040257
Argentina,,2021-01-05,0.99147284,7215,1.0023363
Argentina,,2021-01-06,0.99147284,7548,0.9998541
Argentina,,2021-01-07,0.99147284,0,0.9981067
Argentina,,2021-01-08,0.99147284,9343,0.9958493
Argentina,,2021-01-09,0.99147284,2202,0.99444157
Argentina,,2021-01-10,0.99147284,3436,0.99268013
Argentina,,2021-01-11,0.99147284,0,0.99147284
Austria,,2020-12-28,0.989084,0,1.0063967
Austria,,2020-12-29,0.989084,1117,1.0073453
Austria,,2020-12-30,0.989084,1870,1.006683
Austria,,2020-12-31,0.989084,2311,1.0050322
Austria,,2021-01-01,0.989084,2585,1.0031673
Austria,,2021-01-02,0.989084,1512,1.0001518
Austria,,2021-01-03,0.989084,989,0.9992295
Austria,,2021-01-04,0.989084,0,0.9973814
Austria,,2021-01-05,0.989084,809,0.9963503
Austria,,2021-01-06,0.989084,1555,0.994696
Austria,,2021-01-07,0.989084,1997,0.99370646
Austria,,2021-01-08,0.989084,2268,0.9922652
Austria,,2021-01-09,0.989084,1197,0.99134934
Austria,,2021-01-10,0.989084,674,0.9900073
Austria,,2021-01-11,0.989084,0,0.989084
Belgium,,2020-12-28,0.9923861,0,1.0303698
Belgium,,2020-12-29,0.9923861,2083,1.0295072
Belgium,,2020-12-30,0.9923861,3076,1.0265195
Belgium,,2020-12-31,0.9923861,2418,1.0221307
Belgium,,2021-01-01,0.9923861,2120,1.0177376
Belgium,,2021-01-02,0.9923861,470,1.012602
Belgium,,2021-01-03,0.9923861,536,1.0104506
Belgium,,2021-01-04,0.9923861,0,1.0071331
Belgium,,2021-01-05,0.9923861,1729,1.0048544
Belgium,,2021-01-06,0.9923861,2706,1.0020444
Belgium,,2021-01-07,0.9923861,2042,1.00002
Belgium,,2021-01-08,0.9923861,1736,0.99770457
Belgium,,2021-01-09,0.9923861,87,0.9959801
Belgium,,2021-01-10,0.9923861,151,0.99393535
Belgium,,2021-01-11,0.9923861,0,0.9923861
Bulgaria,,2020-12-28,0.98362166,0,0.99180716
Bulgaria,,2020-12-29,0.98362166,1625,0.9896669
Bulgaria,,2020-12-30,0.98362166,1440,0.98793614
Bulgaria,,2020-12-31,0.98362166,605,0.9875678
Bulgaria,,2021-01-01,0.98362166,94,0.98715323
Bulgaria,,2021-01-02,0.98362166,306,0.98665243
Bulgaria,,2021-01-03,0.98362166,173,0.98607355
Bulgaria,,2021-01-04,0.98362166,0,0.9852953
Bulgaria,,2021-01-05,0.98362166,1480,0.98495185
Bulgaria,,2021-01-06,0.98362166,1298,0.98447186
Bulgaria,,2021-01-07,0.98362166,467,0.98423755
Bulgaria,,2021-01-08,0.98362166,0,0.9839356
Bulgaria,,2021-01-09,0.98362166,175,0.9838361
Bulgaria,,2021-01-10,0.98362166,46,0.9836364
Bulgaria,,2021-01-11,0.98362166,0,0.98362166
Canada,,2020-12-28,0.98713064,366,1.0010492
Canada,,2020-12-29,0.98713064,6150,1.00074
Canada,,2020-12-30,0.98713064,6286,0.99990463
Canada,,2020-12-31,0.98713064,5908,0.9985374
Canada,,2021-01-01,0.98713064,5436,0.9972057
Canada,,2021-01-02,0.98713064,4832,0.99526614
Canada,,2021-01-03,0.98713064,4964,0.99441713
Canada,,2021-01-04,0.98713064,0,0.9931431
Canada,,2021-01-05,0.98713064,5567,0.99229145
Canada,,2021-01-06,0.98713064,5675,0.99110746
Canada,,2021-01-07,0.98713064,5282,0.99030614
Canada,,2021-01-08,0.98713064,4790,0.9892839
Canada,,2021-01-09,0.98713064,4178,0.98857886
Canada,,2021-01-10,0.98713064,4298,0.9877271
Canada,,2021-01-11,0.98713064,0,0.98713064
Switzerland,,2020-12-28,0.99161375,2843,1.0226963
Switzerland,,2020-12-29,0.99161375,4029,1.0219344
Switzerland,,2020-12-30,0.99161375,4767,1.0196159
Switzerland,,2020-12-31,0.99161375,4576,1.0163844
Switzerland,,2021-01-01,0.99161375,0,1.0131706
Switzerland,,2021-01-02,0.99161375,0,1.0087137
Switzerland,,2021-01-03,0.99161375,0,1.006816
Switzerland,,2021-01-04,0.99161375,2367,1.004176
Switzerland,,2021-01-05,0.99161375,3538,1.0022736
Switzerland,,2021-01-06,0.99161375,4255,0.99979085
Switzerland,,2021-01-07,0.99161375,4057,0.99807954
Switzerland,,2021-01-08,0.99161375,0,0.99596155
Switzerland,,2021-01-09,0.99161375,0,0.99452734
Switzerland,,2021-01-10,0.99161375,0,0.9927914
Switzerland,,2021-01-11,0.99161375,1777,0.99161375
Cyprus,,2020-12-28,0.9869511,0,1.0047963
Cyprus,,2020-12-29,0.9869511,270,1.0030512
Cyprus,,2020-12-30,0.9869511,381,1.0012398
Cyprus,,2020-12-31,0.9869511,455,0.9991116
Cyprus,,2021-01-01,0.9869511,407,0.9972628
Cyprus,,2021-01-02,0.9869511,28,0.9959566
Cyprus,,2021-01-03,0.9869511,0,0.9946183
Cyprus,,2021-01-04,0.9869511,0,0.9933768
Cyprus,,2021-01-05,0.9869511,241,0.99212456
Cyprus,,2021-01-06,0.9869511,351,0.9910393
Cyprus,,2021-01-07,0.9869511,424,0.9900378
Cyprus,,2021-01-08,0.9869511,376,0.9892246
Cyprus,,2021-01-09,0.9869511,0,0.98836076
Cyprus,,2021-01-10,0.9869511,0,0.9876456
Cyprus,,2021-01-11,0.9869511,0,0.9869511
Czech Republic,,2020-12-28,0.99378836,0,1.0448347
Czech Republic,,2020-12-29,0.99378836,7868,1.0431831
Czech Republic,,2020-12-30,0.99378836,10696,1.0389117
